specObjID,plateid,mjd,fiberid,ra,dec,primtarget,sectarget,targettype,spectrotype,subclass,z,z_err,z_warning,v_disp,v_disp_err,sn_median,e_bv_sfd,release,reliable,EW_Ha_6562,EW_Ha_6562_Err,sfr_fib_p50,bptclass,logMass,SFR,Metallicity
585575742083983360,520,52288,392,187.0662,2.700829,64,0,GALAXY,GALAXY,STARFORMING,0.007397438,1.785006E-05,0,0,18.44327,44.98956,0.01763481,dr123,1,6.779739,-9999,-2.646852,1,8.19,0,0.01
586662884843481088,521,52326,251,189.6199,1.754345,96,0,GALAXY,GALAXY,AGN BROADLINE,0.01686655,7.004568E-06,0,159.6429,2.93339,51.97131,0.02191775,dr123,1,0.8266129,0.1734407,-2.369541,4,10.4,0,0.04
586676353860921344,521,52326,300,189.5215,1.477751,96,0,GALAXY,GALAXY,AGN,0.006157753,1.382573E-05,0,60.92505,2.990763,55.48262,0.02562534,dr123,1,17.06612,0.3303035,-1.631155,4,9.68,0,0.02
2032262041246394368,1805,53875,46,208.9301,5.781366,64,0,GALAXY,GALAXY,STARBURST,0.01677793,6.273589E-06,0,37.66876,10.79653,21.12355,0.02449742,dr6,1,48.078,1.253159E+16,-1.528736,1,9.07,0.6,0.004
2032284856112670720,1805,53875,129,208.0235,5.765036,64,0,GALAXY,GALAXY,STARFORMING,0.003282483,7.546808E-06,0,0,107.6276,9.617335,0.02420923,dr6,1,19.75369,8.047052E+15,-3.916553,1,7.56,0,0.004
790412557469902848,702,52178,112,32.77703,-0.6555501,96,0,GALAXY,GALAXY,STARFORMING,0.01981992,1.406708E-05,0,84.70844,7.421998,20.71572,0.03148204,special,1,14.151,0.4550976,-0.9010322,1,8.51,0,0.04
807292539722819584,717,52468,81,330.8432,-9.299562,64,0,GALAXY,GALAXY,STARFORMING,0.01745524,6.430841E-06,0,74.273,16.50955,14.76201,0.03413071,dr123,1,38.71454,2.135194,-1.832735,1,8.66,0,0.01
813035284861052928,722,52224,493,339.8545,-8.766051,64,0,GALAXY,GALAXY,STARFORMING,0.01314318,1.110699E-05,0,196.4167,69.82973,4.191588,0.06310784,dr123,1,20.53306,2.22892,-2.339677,1,7.55,0,0.01
1213781441691805696,1078,52643,223,23.42261,-1.158271,64,0,GALAXY,GALAXY,STARFORMING,0.0164872,5.687107E-06,0,0,146.6718,7.717963,0.03308524,special,1,32.69508,-9999,-9999,1,7.51,0,0.004
1239632883837069312,1101,52621,62,340.3089,-0.62087,64,0,GALAXY,GALAXY,STARBURST,0.005918281,4.200958E-06,0,0,31.79715,6.014753,0.05736608,special,1,310.3765,-9999,-2.228163,1,7.14,0,0.01
1245370690148788224,1106,52912,456,329.737,1.018632,64,0,GALAXY,GALAXY,STARBURST,0.01034211,4.819258E-06,0,0,153.2522,4.504144,0.04574449,special,1,27.66977,4.704868,-2.057506,1,7.25,0,0.02
517967865496758272,460,51924,196,50.5728,-7.090682,96,0,GALAXY,GALAXY,STARFORMING,0.009040033,1.279863E-05,0,63.97977,2.772473,51.18768,0.07137355,dr123,1,12.21291,0.3039752,-1.178169,3,9.59,0.1,0.01
520301303797147648,462,51909,493,55.17912,-6.415152,96,0,GALAXY,GALAXY,BROADLINE,0.01748557,1.215126E-05,0,56.17223,5.058753,27.43782,0.05559315,dr123,1,1.850068,0.1056484,-2.391138,2,10,0,0.004
522558876030101504,464,51908,514,59.58062,-4.730432,64,0,GALAXY,GALAXY,STARFORMING,0.01766202,7.652533E-06,0,41.81782,18.47767,11.01849,0.1189918,dr123,1,33.13349,1.035731,-1.785612,1,8.47,0,0.02
532589720962623488,473,51929,142,140.1432,1.551121,64,0,GALAXY,GALAXY,STARFORMING,0.0166349,5.565358E-06,0,0,326.5986,12.57699,0.03301315,dr123,1,27.99641,1.197654,-2.098226,1,8.47,0,0.004
536044942712137728,476,52314,424,143.6542,0.04607416,64,0,GALAXY,GALAXY,STARBURST,0.01636972,3.901761E-06,0,63.30815,18.49217,17.80476,0.03961701,dr123,1,61.8876,-9999,-1.73895,1,8.08,0,0.004
2052545282184341504,1823,53886,108,242.9124,4.543359,64,0,GALAXY,GALAXY,STARFORMING,0.01580913,7.612416E-06,0,0,26.65371,17.67621,0.06780303,dr6,1,27.39917,1.108109,-1.659825,1,8.09,0,0.004
2055910331028367360,1826,53499,62,215.9319,5.876856,64,0,GALAXY,GALAXY,STARBURST,0.004622382,6.11051E-06,0,0,53.39269,7.093919,0.03017596,dr5,1,62.20169,-9999,-3.241049,1,6.88,0,0.01
2059293803101054976,1829,53494,83,221.9843,5.405971,64,0,GALAXY,GALAXY,STARFORMING,0.01430256,9.488264E-06,0,69.20928,31.13996,7.18577,0.03689189,dr5,1,16.73309,3.565278,-2.133501,1,8.02,0,0.01
2068382915972065280,1837,53494,381,240.0441,4.890583,64,0,GALAXY,GALAXY,STARFORMING,0.0183716,8.89665E-06,0,0,25.70136,13.96018,0.06677829,dr5,1,26.00865,1.132445,-1.596779,1,9.34,0.6,0.01
1695713337104427008,1506,53003,393,30.75021,0.027215,64,0,GALAXY,GALAXY,STARFORMING,0.019052,1.83867E-05,0,153.8132,60.16356,6.434781,0.02565687,special,1,7.964652,0.8172601,-9999,1,8.38,0,0.04
1713776387812255744,1522,52932,570,321.0691,1.027332,64,0,GALAXY,GALAXY,STARBURST,0.01945757,6.343959E-06,0,0,36.08971,2.408273,0.05153107,special,1,119.4706,5.767998,-9999,1,6,0,0.01
1746373890545838080,1551,53327,375,21.18527,1.047921,64,0,GALAXY,GALAXY,STARBURST,0.01594345,7.435198E-06,0,296.4858,95.448,3.654509,0.02953167,special,1,51.65244,6.662347,-9999,1,7.03,0,0.04
439244481812785152,390,51900,522,5.397029,1.165647,96,0,GALAXY,GALAXY,BROADLINE,0.01823216,5.316027E-06,0,98.50074,1.88572,65.06612,0.0227593,dr123,1,0.02877455,0.0003853356,-2.230379,2,10.15,0,0.02
595674751972698112,529,52025,268,205.1501,2.084273,64,0,GALAXY,GALAXY,STARFORMING,0.01540653,1.085566E-05,0,0,59.54583,4.756912,0.02412907,dr123,1,16.79042,-9999,-2.551268,1,7.89,0,0.01
597926826714621952,531,52028,269,208.8103,1.907755,64,0,GALAXY,GALAXY,STARFORMING,0.01476158,6.64798E-06,0,33.31454,25.68314,18.49698,0.0345647,dr123,1,21.67359,0.5203466,-1.803964,1,8.84,0.1,0.004
600175052545091584,533,51994,256,213.2054,1.489208,68,0,QSO,GALAXY,STARBURST,0.01779332,3.984295E-06,0,57.36881,13.33912,24.81937,0.03886751,dr123,1,44.74722,1.755246,-1.116833,1,8.64,0.2,0.01
605784211701393408,538,52029,182,223.7326,1.525463,64,0,GALAXY,GALAXY,STARFORMING,0.005868103,2.307618E-05,0,263.9486,69.17403,4.066219,0.04522436,dr123,1,11.89992,0.9402519,-3.419139,2,7.86,0,0.004
1118087097559836672,993,52710,249,144.843,4.952385,64,0,GALAXY,GALAXY,STARFORMING,0.006313306,5.126804E-06,0,62.76434,13.99262,20.38877,0.04707944,dr123,1,33.87912,1.471613,-2.712323,1,7.63,0,0.004
1128232015397677056,1002,52646,292,163.8026,5.86256,66,0,QSO,GALAXY,STARFORMING,0.01165134,7.824119E-06,0,53.56503,8.644577,26.92953,0.03259229,dr123,1,46.49863,1.231276,-1.60064,1,9.25,0.2,0.004
354813529695479808,315,51663,564,235.1221,0.9103554,64,0,GALAXY,GALAXY,STARFORMING,0.01170766,5.135477E-06,0,15.01665,32.90586,12.50276,0.1026068,dr123,1,35.1278,1.996723,-2.301271,1,7.92,0,0.01
368209440198912000,327,52294,146,174.0189,-3.101366,96,0,GALAXY,GALAXY,STARFORMING,0.01956541,1.302535E-05,0,81.02155,3.999991,37.97379,0.03067469,dr123,1,13.90877,0.3838772,-0.7178802,1,9.55,0.3,0.01
666581432214251520,592,52025,177,231.2088,3.081458,68,0,QSO,GALAXY,STARBURST,0.005850369,4.700466E-06,0,85.74496,16.29898,14.71215,0.0456325,dr123,1,114.3713,-9999,-2.605197,1,7.15,0,0.01
668919268846364672,594,52027,490,236.5159,3.227657,96,0,GALAXY,GALAXY,STARFORMING,0.01295225,8.709841E-06,0,0,40.89144,15.93198,0.09481595,extra,1,28.58892,0.6876091,-1.78946,1,9.37,0.2,0.02
